date,mktrf,smb,hml,umd
20110103,0.011800,0.005000,0.007700,-0.000100
20110104,-0.002600,-0.013800,0.000700,-0.005800
20110105,0.005900,0.005900,0.001300,0.001200
20110106,-0.001500,-0.000700,-0.003400,-0.005100
20110107,-0.002100,-0.002500,-0.002700,0.003500
20110110,-0.000200,0.005300,-0.001600,0.006800
20110111,0.003900,0.001200,0.001800,-0.002100
20110112,0.008700,-0.000700,0.002700,-0.003000
20110113,-0.001700,0.001400,-0.003500,0.003100
20110114,0.006900,0.000200,0.005900,-0.001900
20110118,0.001800,0.000900,-0.005100,-0.003200
20110119,-0.012400,-0.013600,-0.005300,-0.001400
20110120,-0.002900,-0.010400,0.007000,-0.012500
20110121,0.001100,-0.009000,0.005900,-0.001400
20110124,0.006500,0.003000,-0.002800,0.001900
20110125,0.000200,0.000100,0.001200,-0.001500
20110126,0.006000,0.013900,-0.002300,0.012500
20110127,0.002600,-0.001000,0.003500,0.000300
20110128,-0.018800,-0.008700,-0.000400,-0.001700
20110131,0.007100,0.000200,-0.002800,0.006000
20110201,0.017500,0.004800,0.005100,0.005100
20110202,-0.002600,-0.000300,-0.004000,0.000000
20110203,0.002600,-0.000400,-0.000500,0.000800
20110204,0.002900,0.000600,-0.005200,0.000400
20110207,0.007000,0.002600,0.006000,0.002500
20110208,0.004800,0.002200,0.000000,0.001400
20110209,-0.003100,-0.001900,-0.000700,-0.000500
20110210,0.001200,0.003300,-0.003000,0.007900
20110211,0.006700,0.003900,0.005100,0.004500
20110214,0.003000,0.002100,-0.001600,0.005400
20110215,-0.003800,-0.003600,0.003100,-0.002900
20110216,0.006800,0.003600,0.002600,0.001000
20110217,0.003700,0.003600,0.001800,0.001300
20110218,0.001200,-0.001000,0.000500,-0.005000
20110222,-0.021900,-0.005200,-0.003000,-0.008000
20110223,-0.007800,-0.011600,0.004100,-0.002300
20110224,0.000400,0.007200,-0.003500,0.003800
20110225,0.012200,0.010100,0.002500,0.006700
20110228,0.004200,-0.004400,0.002500,-0.002100
20110301,-0.015800,-0.003100,-0.000600,-0.002300
20110302,0.002800,0.003100,-0.002900,0.005400
